year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2022,20,9999,all,expanding,104090,11100,116240,12300,25,0.0838791984587847,0.0756372878742027,0.0172883343005453,0.6763937222330194,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed9999_20260829_162403
2023,20,9999,all,expanding,116240,11250,128540,11950,25,0.0779985865517237,0.0437985030317492,0.0069289411256892,0.6772929657073248,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed9999_20260829_162403
2024,20,9999,all,expanding,128540,10900,140490,12100,20,0.0978752380568033,-0.0467439595665138,-0.0139656489861413,0.6805566367895707,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed9999_20260829_162403
2025,20,9999,all,expanding,140490,11050,152590,12150,1,0.0483088311439119,0.0228597117859489,0.0115071353137416,0.7621132946014404,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed9999_20260829_162403
2026,20,9999,all,expanding,152590,11100,164740,6900,10,0.1356469074116132,0.0620988974356867,0.0629617270516041,0.6868184429627878,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed9999_20260829_162403
2018,20,31415,all,expanding,55678,10878,67585,12226,20,0.0367645643728046,0.0711201089621617,0.0183801506644987,0.6777222319082781,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed31415_20260829_162604
2019,20,31415,all,expanding,67585,11176,79790,12050,1,0.1090152022001452,-0.0007487564652408,-0.0011229112532335,0.8128323417443496,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed31415_20260829_162604
2020,20,31415,all,expanding,79790,11000,91840,12250,40,0.0363577988849586,0.0681561114241614,0.0119977734912865,0.6494283437728882,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed31415_20260829_162604
2021,20,31415,all,expanding,91840,11200,104090,12150,40,0.1090499056765563,0.0424871364763376,0.0197155902363267,0.6613963316468632,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed31415_20260829_162604
2022,20,31415,all,expanding,104090,11100,116240,12300,25,0.1005012148971069,0.0489674744884521,0.0118894796831366,0.673776786578329,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed31415_20260829_162604
2023,20,31415,all,expanding,116240,11250,128540,11950,20,0.1095802882450505,0.029318833883403,0.0059735817081024,0.6813743540218898,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed31415_20260829_162604
2024,20,31415,all,expanding,128540,10900,140490,12100,1,0.0934145473260675,0.0278247227685946,0.0041474790032636,0.7751427940700365,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed31415_20260829_162604
2025,20,31415,all,expanding,140490,11050,152590,12150,1,0.0805345114562772,0.0940056022408963,0.0253285371746514,0.7729203152656555,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed31415_20260829_162604
2026,20,31415,all,expanding,152590,11100,164740,6900,5,0.1262463904480711,0.0999331744425318,0.0750708182931108,0.6887350700519703,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed31415_20260829_162604
