horizon,feature_set,train_window,execution_delay,slippage_bps,entry_k,exit_k,periods,start,end,total_return,cagr,gross_total_return,market_total_return,market_cagr,ew_net_total_return,ew_net_cagr,active_sharpe,strategy_sharpe,rebalance_max_drawdown,mean_turnover,cost_sum,positive_alpha_years,years,worst_year,worst_year_alpha
10,all,3,2,0,10,20,208,2018-01-04,2026-08-03,8.713357186240238,0.303494045279618,15.517718750719187,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.324600645600775,1.1562549231578785,-0.25942109806861136,0.4370259197640719,0.5301231391689225,6,9,2024,-0.392192844519736
10,all,3,2,0,15,25,208,2018-01-04,2026-08-03,7.409243240753987,0.2817685036240427,12.31824291720357,5.473021198490027,0.243254717099322,5.480857797693004,0.24343009643626057,0.24004522946277873,1.1751097430945219,-0.26380173705569576,0.37862802704607784,0.4592145833096675,6,9,2024,-0.33095412657190204
10,all,3,2,5,5,10,208,2018-01-04,2026-08-03,10.343711133573743,0.327287463977727,25.865925327749007,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.3650533991826517,1.0712221744140553,-0.3456135373330589,0.6051604517625565,0.8601326116712906,6,9,2024,-0.4300303931847509
10,all,3,2,5,10,15,208,2018-01-04,2026-08-03,6.106536682174301,0.2568620435273683,14.5184732873617,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.11217256357865414,1.0555711998681814,-0.26616806066389864,0.5480551791861467,0.7793690193044218,5,9,2024,-0.3928595878651966
10,all,3,2,5,10,20,208,2018-01-04,2026-08-03,7.866672814025804,0.28970805008453615,15.517718750719187,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.26705422665447365,1.115415281759297,-0.2630242890823591,0.4370259197640719,0.6210245304798496,6,9,2024,-0.4060387180534304
10,all,3,2,5,15,25,208,2018-01-04,2026-08-03,6.770679991350324,0.27002156213655115,12.31824291720357,5.473021198490027,0.243254717099322,5.450959386484684,0.24275997505486857,0.18085007544488912,1.136211156354059,-0.2702192714611932,0.37862802704607784,0.5379692129352518,5,9,2024,-0.34322926381724606
10,all,3,2,10,5,10,208,2018-01-04,2026-08-03,8.995569989883487,0.3078535537338378,25.865925327749007,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.3061469383202119,1.0237037334891532,-0.3616053782070423,0.6051604517625565,0.9860059856379023,6,9,2024,-0.44503337329405945
10,all,3,2,10,10,15,208,2018-01-04,2026-08-03,5.337612114155111,0.24019431678846814,14.5184732873617,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.03733684194652195,1.00165379605107,-0.2703096469595401,0.5480551791861467,0.8933644965751402,5,9,2024,-0.4083409812223251
10,all,3,2,10,10,20,208,2018-01-04,2026-08-03,7.093405186230655,0.2760607594066551,15.517718750719187,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.20947047565793075,1.0745310242211696,-0.2706445012110069,0.4370259197640719,0.7119259217907765,6,9,2024,-0.4197210606693702
10,all,3,2,10,15,25,208,2018-01-04,2026-08-03,6.18035701460467,0.25837717779951275,12.31824291720357,5.473021198490027,0.243254717099322,5.421196702547365,0.2420901651121492,0.12161118787964027,1.097278034239686,-0.27658396554035625,0.37862802704607784,0.6167238425608359,5,9,2024,-0.35538245589023765
10,all,3,2,20,5,10,208,2018-01-04,2026-08-03,6.758835521441028,0.26979572772922333,25.865925327749007,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.18815451950335663,0.9284891747964288,-0.3924583040541232,0.6051604517625565,1.2377527335711256,6,9,2024,-0.4744468564312909
10,all,3,2,20,10,15,208,2018-01-04,2026-08-03,4.039280604571467,0.20748908637587116,14.5184732873617,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,-0.11254817065155888,0.8935792618442259,-0.29682292467047333,0.5480551791861467,1.121355451116577,5,9,2024,-0.4386929935292476
10,all,3,2,20,10,20,208,2018-01-04,2026-08-03,5.7423332842307975,0.24917700395426734,15.517718750719187,5.473021198490027,0.243254717099322,5.362076089354652,0.2407514789373597,0.09420855252314492,0.9926348083651476,-0.2942013519911625,0.4370259197640719,0.8937287044126305,6,9,2024,-0.446602499402992
