horizon,feature_set,train_window,year,seeds,ic_mean,ic_median,ic_std,spread_mean
10,no_relative,expanding,2025,16,0.07832247372633128,0.08967527114767579,0.03910433644524813,0.013510249528839063
10,no_relative,expanding,2026,16,0.055745483031950524,0.06163196455987905,0.016388602642597318,0.03331856403740883
10,no_trend,3,2018,16,0.04718482037352856,0.0499031628577535,0.022273501199050787,0.005473222996166862
10,no_trend,3,2019,16,-0.022846407288746106,-0.02986190057978455,0.0349059432503519,-0.005416772633659738
10,no_trend,3,2020,16,0.011183620487177325,0.0015309502623767,0.03282837081731602,0.0026509645272836373
10,no_trend,3,2021,16,0.009931520152012993,0.011675965861328151,0.011488503068932052,0.008487662420135357
10,no_trend,3,2022,16,-0.0032957072299362876,-0.002327957072263,0.013248750030954033,0.001514616297253375
10,no_trend,3,2023,16,0.00703123329451095,0.00757783650830685,0.01973976602288568,0.0033836171810842303
10,no_trend,3,2024,16,0.0175915269920741,0.02207512821824675,0.01924110747493908,0.00132078525030085
10,no_trend,3,2025,16,0.0419255409855735,0.03800261269692255,0.02509488818976655,0.0073527948081689885
10,no_trend,3,2026,16,0.03641832923538811,0.03957453394795925,0.024289269890570776,0.02545292198126978
10,no_trend,5,2018,16,0.03386639472969553,0.0381419758299701,0.015587403866702857,0.0031465519863814687
10,no_trend,5,2019,16,-0.03662285426355494,-0.019035637461214852,0.038793999202516326,-0.005655130703203388
10,no_trend,5,2020,16,0.027747439955702474,0.018081499001629447,0.047956045011622046,0.004299255476617357
10,no_trend,5,2021,16,0.017344868718047125,0.02358724035096205,0.016826839255393026,0.00837028241478073
10,no_trend,5,2022,16,0.0010222610070903374,0.00241117024659855,0.01612835459535906,0.000360379045805788
10,no_trend,5,2023,16,0.006144772125765188,0.0193820798041719,0.03274340210006607,0.0024999491025881936
10,no_trend,5,2024,16,0.017864929480112375,0.024164514666614498,0.027145409166962526,0.004699270736930035
10,no_trend,5,2025,16,0.06636321166625014,0.07230942328786549,0.03559584984715397,0.014192497229912044
10,no_trend,5,2026,16,0.050897400550659326,0.047916288014102804,0.011403341818629427,0.029218315279626227
10,no_trend,8,2018,16,0.039307564188126726,0.040638822898695554,0.015117896521168314,0.004845647559633038
10,no_trend,8,2019,16,-0.02554060805451016,-0.02962147857839455,0.037627569782072885,-0.004561578161398506
10,no_trend,8,2020,16,0.03450984162382396,0.0352122971973915,0.02656973045723212,0.003669881311306751
10,no_trend,8,2021,16,0.028486376804707794,0.034281874419907654,0.015488821105688381,0.011554537302647331
10,no_trend,8,2022,16,0.0023333426112929568,0.0077437485075352004,0.014654198451961895,0.0014383771921221875
